논문이름,저자,발행기관,학술지명,권호사항,발행년도,작성언어,주제어,초록
요통 환자 레지스트리 데이터를 통한 한의 보존적 치료 경향: 7개 한방병원 의무기록 분석                      = Trends of Korean Medicine Conservative Treatment Using Low Back Pain Patients Registry Data: Analysis of Medical Records of 7 Korean Medical Hospital,이강준                                (가천대학교 한의과대학 한방재활의학과교실)                                                                ;                                  오민석                                (대전대학교 한의과대학 한방재활의학과교실)                                                                ;                                  이은정                                (대전대학교 한의과대학 한방재활의학과교실)                                                                ;                                  신병철                                (부산대학교 한방병원 한방재활의학과)                                                                ;                                  황의형                                (부산대학교 한방병원 한방재활의학과)                                                                ;                                  김순중                                (세명대학교 부속한방병원 한방재활의학과)                                                                ;                                  차윤엽                                (상지대학교 한의과대학 한방재활의학과교실)                                                                ;                                  고연석                                (우석대학교 한의과대학 한방재활의학과교실)                                                                ;                                  송윤경                                (가천대학교 한의과대학 한방재활의학과교실),한방재활의학과학회,한방재활의학과학회지(Journal of Oriental Rehabilitation Medicine),Vol.29   No.3   [2019],2019,Korean,Low back pain;  Registries;  Korean medicine;  Conservative treatment,"Objectives The purpose of this study is to investigate characteristics of low back pain patients and trends of Korean medicine conservative treatment effects of low back pain patients by registry data.Methods A total of 78 patients were analyzed, statistical analysis was performed using a generalized linear model. The comparison between groups was performed using independent two samples t-test or Wilcoxon rank sum test according to the distribution of normality. Before and after the treatment effects, ANOVA and Kruskal-Wallis method were used for the comparison, Sheffe method was used for the post test.Results The average age of hospitalized patients was 31.8 years old and out-patient department (OPD) patients was 44.9 years old. Lots of OPD patients and hospitalized patients were classified to ‘Lumbago due to Coexist Qu Stagnation and Bloos Stasis’. Both OPD patients and hospitalized patients classified to ‘Lumbago due to Coexist Qu Stagnation and Bloos Stasis’ showed statistically significant decrease in RMDQ (Roland-Morris disability questionnaire) and NRS (numeric rating scale) on 1 month and 3 month after clinical research start date. Comparing the treatment effects of Chuna manual therapy, both Chuna group and non-Chuna group showed statistically significant decrease in RMDQ and NRS on discharge date, 1 month and 3 month after clinical research start date.Conclusions We expect that a larger scale registry study will be carried out to provide a higher level of basis for the Korean medical treatment of low back pain. (J Korean Med Rehabil 2019;29(3):87-101)"
대학생의 우울 예측을 위한 머신러닝 분석: 가족 데이터를 중심으로,길민지                          ;  김석선                          ;  민은정,한국간호과학회,한국간호과학회 학술대회,Vol.2022   No.10   [2022],2022,Korean,머신러닝;  대학생;  우울;  가족,
구강 스캐너 거울면의 오염도가 스캔 데이터의 정확도에 미치는 영향 평가                      = Evaluation of the effect of contamination of the scan-mirror of an intra-oral scanner on the accuracy of the scan data: A pilot study,정윤수                                (부산대학교 치의학전문대학원 치과보철학교실)                                                                ;                                  정창모                                (부산대학교 치의학전문대학원 치과보철학교실)                                                                ;                                  윤미정                                (부산대학교 치의학전문대학원 치과보철학교실)                                                                ;                                  허중보                                (부산대학교 치의학전문대학원 치과보철학교실)                                                                ;                                  이소현                                (부산대학교 치의학전문대학원 치과보철학교실)                                                                ;                                  이현종                                (부산대학교 치의학전문대학원 치과보철학교실),대한치과의사협회,대한치과의사협회지(The Journal of Korean Dental Association),Vol.59   No.6   [2021],2021,Korean,intra-oral scanner;  accuracy;  scan-mirror,"Purpose: This study was conducted to evaluate the influence of contamination of the scan-mirror on the accuracy of obtained scan data by using two type of intra-oral scanner.Materials & methods: After printing the Crown & inlay specimens according to the ISO standard, the data values of the specimens were calculated using a model scanner and two intra-oral scanners. Experimental groups were classified into three groups according to cleanliness of scan-mirror.Each group performed 10 repeated scans. Data analysis was performed with statistical software (SPSS 25, IBM Corp., Armonk, New York, USA) to check the normality of data sets andA NOVA & Bonferroni test was performed for multiple comparisons betwen groups.Results: The d1(top diameter of cylinder), d2(bottom diameter of cylinder), h(cylinder height) values of the crown specimens and d1(top diameter of cavity), d2(bottom diameter of cavity), h(cavity height) of the inlay specimens compared with the reference data using two intra-oral scanners were similar for each group.Discussion: In the scanning process, it was observed on the screen that a data value that deviated from the normal range was inputted in the group with higher level of contamination, but they were removed through the software’s own filtering and post-processing, and it was found that there was no significant effect on the result values.Conclusion: Under the conditions of this study, as the degree of contamination of the scan-mirror surface increased, an inaccurate capture screen appeared, but it did not significantly affect the accuracy and percision of the scan data."
한의 온톨로지 처방의 용량 단위 가공과 데이터베이스 스키마 설계                      = Processing of dosage units and design of database schema for formulas in Korean medicine ontology,김상균                                (한국한의학연구원)                                                                ;                                  오용택                                (우석대학교)                                                                ;                                  이명구                                (한국한의학연구원),대한한의학방제학회,大韓韓醫學方劑學會誌(Herbal formula science),Vol.30   No.4   [2022],2022,Korean,Korean medicine ontology;  Formula;  Database schema;  dosage unit;  Korean medicine textbook.,"Objectives : This study aims to propose a processing method for dosage units of medicinal materials and the database schema to manage formula data in Korean medicine ontology.Methods : All dosage units of medicinal materials are collected from the seven textbooks that contain formula data of Korea medicine ontology. Dosages are converted to Arabic numerals and units that are frequently used are converted to representative units. Database schema is designed for processing and managing the formulas and medicinal materials with dosage units.Results : Seven representative units are selected out of 77 units. They will be used in the addition or subtraction of medicinal materials in a formula support system. The remaining units will be made available for references.Conclusions : EMR or chart programs used in clinical hospitals contain formula data that is already standardized. However, the formula data in Korean medicine literature and textbook is not refined, so it is necessary to process the dosages and units of medicinal materials to use in the formula support system. This result is a processing method to utilize the formula data of Korean medicine textbooks and it will be implemented this method in the established formula support system in the future."
사상체질별 운동요법 관련 연구 문헌 고찰 - 데이터베이스 검색을 통해 -                      = Literature Review on Exercise Therapy by Sasang Constitution through Database Search,"신소이                                (경희대학교)                                                                ;                                  이준희                                (경희대학교)                                                                ;                                  Shin, Soyi                                                                                                ;                                  Lee, Junhee",사상체질의학회,사상체질의학회지(Journal of Sasang constitutional medicine),Vol.33   No.3   [2021],2021,Korean,Sasang Constitutional Medicine;  Exercise;  Physical activity;  Review,"Objective The purpose of this review was to investigate exercise therapy by sasang constitution and to offer information for further research. Method The literature was investigated from KMBASE, KISS, ScienceON, JSCM, DBpia, Pubmed. The searching term were sasang, sasang constituion, sasang type, taeyangin, taeeumin, soyangin, soeumin, exercise, physical therapy, physical activity, and so on. Studies were extracted and analyzed exercise by sasang constitution, in addition, were also collected physiological differences related to sasang constitution, exercise ability, exercise response and effects, and exercise contraindications. Result & Conclusion It is helpful for Taeyangin to lower the energy through exercises that train the lower body and deep breathing, and there is no need to exercise excessively. Taeeumin tend to be obese compared to other constitutions. In order to be physically healthy, it is good to sweat a lot through regular exercise. It is good to do aerobic exercise that burns a lot of calories every day. Soyangin has a weak lower body, so it is good to exercise to reinforce the lower body. Soyangin has weak stamina, and since static exercise easily loses interest, it is helpful to do exciting exercise, and it can be performed at normal intensity. Soeumin are statistically less physically active. So soeumin need to improve exercise habits, but because physical strength is on the weak side, it is more appropriate to do an exercise that activates the body parts evenly rather than a strong one."
한국 여성의 연령에 따른 피부 측정 데이터 기반 20 대 ∼ 40 대  피부 나이 예측 모형 개발 및 적용                      = Development and Application of Skin Age Prediction Model Based on  Skin Measurement Data According to Age of  20’s to 40’s ages of Korean Women,맹지혜                                ((주)씨알에이코리아)                                                                ;                                  남개원                                (서원대학교),사단법인 대한화장품학회,대한화장품학회지(大韓化粧品學會誌),Vol.48   No.1   [2022],2022,Korean,skin index;  skin characteristic regression analysis;  classification skin;  clinical study;  customized cosmetic,"In this study, basic skin characteristics data were collected by measuring skin hydration, skin melanin, skin redness, and skin torsion elasticity from Korean women in from 20’s to 40’s ages, and then, age and correlation analysis were conducted. This was used to create a skin index, and cluster analysis was performed to classify the groups into 4 clusters, and the skin characteristics of each cluster were confirmed. Then, two prototypes were used for two weeks to confirm the improvement effect on skin moisture, skin redness, and skin dead mass reduction, and then analyzed which product was more effective in which cluster of subjects participated in the skin characteristics test. As a result of the study, the possibility of preparing for the customized cosmetics market was confirmed by applying the skin index and cluster analysis results to product efficacy evaluation."
의료기기의 시판 후 안전관리 및 실사용 데이터 기반 환자 등록 연구를 위한 「의료기기법」법적 근거 고려사항 도출                      = Consideration from the 「Medical Devices Act」 ’s Law Basis for Post-Marketing Safety Control and Real-World Data Based Patient-Registry Study,"김윤지                                (동국대학교 의료기기산업학과)                                                                ;                                  황유나                                (동국대학교 의료기기산업학과, 동국대학교 바이오헬스의료기기규제과학과)                                                                ;                                  권지연                                (동국대학교 의료기기산업학과, 동국대학교 바이오헬스의료기기규제과학과)                                                                ;                                  김성민                                (동국대학교 의료기기산업학과, 동국대학교 바이오헬스의료기기규제과학과)",한국에프디시규제과학회,"FDC법제연구(Regulatory Research on Food, Drug & Cosmetic)",Vol.18   No.2   [2023],2023,Korean,post-marketing safety control;  medical devices act;  regulatory registry;  real world data;  patient;  registry study;  시판 후 안전관리;  의료기기 법;  규제 레지스트리;  실사용 데이터;  환자 등록 연구,"시판 후 안전관리를 위한 실사용 데이터 기반 환자 등록 연구는 실제 임상 환경의 특성을 반영하여 환자의 안전 과 의료기기의 안전성 및 유효성을 보장하기 위해 중요성이 높아지고 있다. 국내에서는 의료기기를 대상으로 재평가, 시 판 후 조사, 추적관리대상 의료기기, 부작용 관리 등의 시판 후 안전관리 제도가「의료기기법」에 근거하여 실시 중이 다. 해당 제도들은 시판된 의료기기를 대상으로 의료기기 사용 도중 발생하는 부작용 등의 안전성 정보를 분석 및 평가 하여 국민의 안전을 목적으로 국가의 주도하에 실시된다. 하지만, 의료기기 안전관리를 위한 환자 특성, 건강 결과 등을 포함한 임상 정보와 의료기기의 실사용 데이터(UDI, 제품 특성, 안전성 및 유효성 관련 실사용 데이터)를 통합한 환자 등 록 연구는 미흡하다. 따라서 본 연구의 목적은 한국과 미국의 유관 법령의 비교 분석을 통해 의료기기 시판 후 안전관리 를 위해 환자 등록 연구가 가능한 국가 주도 레지스트리의 구축에 대한 필요성 및 법적 근거 마련 시 고려사항을 제안 하는 것이다. 이와 관련하여 미국, 유럽은 정부 주도하에 시판 후 안전관리 연구 환경을 DARWINEU, NESTcc와 같은 데 이터 네트워크 형태로 구축하였으며, 이를 통해 획득된 데이터를 활용하여 시판 후 안전관리 연구를 하고 있다. 반면, 국 내의 경우 의료보험 측면에서 의료기술 평가를 위한 협회, 제조업체 등 민간 주도 레지스트리 기반의 환자 등록 연구가 이루어지고 있다. 또한「의료기기 부작용 등 안전성 정보 관리에 관한 규정」에서 명시하고 있는 이상사례 보고의 목 적은 문제 발생 시에 의료진, 환자, 제조업체에서 정해진 양식을 통해 매뉴얼적으로 보고하도록 범위가 제한되어 있다. 한국과 미국의 시판 후 안전관리 및 환자등록연구를 위한 유관 법령을 분석한 결과,「의료기기법」상 규제 레지스트리 구축의 범위 및 관리 주체, 절차 마련 시 고려사항을 제안하였다. 본 연구의 결과는 의료기기의 시판 후 안전관리 및 환 자등록연구의 실시를 위해 향후 「의료기기법」에 추가가 필요한 법적 근거 마련에 활용될 수 있을 것으로 기대된다"
개인 맞춤형 피부미용기기 개발을 위한 피부 데이터베이스 구축에 관한 연구,신미연(M. Y. Shin)                          ;  김경(K. Kim)                          ;  유창호(C. H. Yu),한국재활복지공학회,한국재활복지공학회 학술대회논문집,Vol.2021   No.4   [2021],2021,Korean,,
족저 근막염의 계절성에 대한 인터넷 검색어 데이터와 건강보험심사평가원 자료의 연관성                      = Correlation between Internet Search Query Data and the Health Insurance Review & Assessment Service Data for Seasonality of Plantar Fasciitis,"황석민                                                                                                ;                                  이금호                                                                                                ;                                  오승열                                                                                                ;                                  Hwang, Seok Min                                (Department of Orthopedic Surgery, Seoul Red Cross Hospital, Seoul, Korea)                                                                ;                                  Lee, Geum Ho                                (Department of Orthopedic Surgery, Seoul Red Cross Hospital, Seoul, Korea)                                                                ;                                  Oh, Seung Yeol                                (Department of Orthopedic Surgery, Seoul Red Cross Hospital, Seoul, Korea)",대한족부족관절학회,대한족부족관절학회지(journal of korean foot and ankle society),Vol.25   No.3   [2021],2021,Korean,Plantar fasciitis;  Heel pain;  Internet;  Big data;  Seasonality,"Purpose: This study examined whether there are seasonal variations in the number of plantar fasciitis cases from the database of the Korean Health Insurance Review & Assessment Service and an internet search of the volume data related to plantar fasciitis and whether there are correlations between variations. Materials and Methods: The number of plantar fasciitis cases per month was acquired from the Korean Health Insurance Review & Assessment Service from January 2016 to December 2019. The monthly internet relative search volumes for the keywords ""plantar fasciitis"" and ""heel pain"" were collected during the same period from DataLab, an internet search query trend service provided by the Korean portal website, Naver. Cosinor analysis was performed to confirm the seasonality of the monthly number of cases and relative search volumes, and Pearson and Spearman correlation analysis was conducted to assess the correlation between them. Results: The number of cases with plantar fasciitis and the relative search volume for the keywords ""plantar fasciitis"" and ""heel pain"" all showed significant seasonality (p<0.001), with the highest in the summer and the lowest in the winter. The number of cases with plantar fasciitis was correlated significantly with the relative search volumes of the keywords ""plantar fasciitis"" (r=0.632; p<0.001) and ""heel pain"" (r=0.791; p<0.001), respectively. Conclusion: Both the number of cases with plantar fasciitis and the internet search data for related keywords showed seasonality, which was the highest in summer. The number of cases showed a significant correlation with the internet search data for the seasonality of plantar fasciitis. Internet big data could be a complementary resource for researching and monitoring plantar fasciitis."
마할라노비스 거리와 랜덤포레스트를 활용한 원전 운전데이터 이상 진단 분석                      = Analysis of Anomaly Diagnosis on Operation Data in Nuclear Power Plant using Mahalanobis Distance and Random Forest,이형진                                (한국수력원자력(주))                                                                ;                                  김성신                                (부산대학교),한국지능시스템학회,한국지능시스템학회논문지(Journal of Korean institute of intelligent systems),Vol.32   No.2   [2022],2022,Korean,Random Forest;  Mahalanobis Distance;  Abnormal Classification;  Abnormal Detection;  Nuclear Power Plant;  랜덤포레스트;  마할라노비스 거리;  이상 분류;  이상 탐지;  원자력발전소,"In nuclear power plants (NPP), various abnormal situations may occur. In order not to escalate into a severe accident, it is necessary to support the operator to quickly identify the abnormality and take action. In this paper, we propose a data-driven fault diagnosis method applicable to NPP. First, 12 variables were selected and used, given the relevance of the reactor output, and the difference from the previous value of each variable were added so that the time characteristic was included.Anomaly detection utilizes Mahalanobis distance-based algorithm that has no constraints of data distribution so that it can be applied to dynamic outputs. It identifies the detected failure and shows that the data can be classified through a random forest model. Experimental results showed that the proposed method can properly detect and classify the fault of NPP."
PCSK9 저해제와 인지 기능 관련 이상사례: 세계보건복지기구 데이터베이스 VigiBase를 활용한 약물감시 연구                      = PCSK9 inhibitors and Cognitive Dysfunction related Adverse Events: A Pharmacovigilance Study Using the World Health Organization VibiBase,"박다현                                (성균관대학교 바이오헬스규제과학과)                                                                ;                                  배성호                                (성균관대학교 약학과)                                                                ;                                  배지환                                (성균관대학교 약학과)                                                                ;                                  이혜성                                (성균관대학교 약학과)                                                                ;                                  최영준                                (고려대학교 안암병원 소아청소년과)                                                                ;                                  신주영                                (성균관대학교 바이오헬스규제과학과, 성균관대학교 약학과,성균관대학교 임상연구설계평가학과)",한국에프디시규제과학회,"FDC법제연구(Regulatory Research on Food, Drug & Cosmetic)",Vol.18   No.2   [2023],2023,Korean,PCSK9 저해제;  인지 기능 장애;  VigiBase;  이상사례;  실마리 정보;  PCSK9 inhibitors;  cognitive dysfunction;  VigiBase;  adverse events;  Signal detection,"전구단백질 전환효소 서브틸리신/켁신 9형 (PCSK9) 저해제는 심혈관 질환 환자에게 사용되는 새로운 지질 강 하제이다. 임상시험에서 PCSK9 저해제의 인지 기능 장애에 대한 안전성이 검증되었지만 신경인지 기능 장애 사례가 보고되며 실사용 환경에서의 근거가 증가하고 있다. 이는 PCSK9 저해제가 인지 기능 장애의 위험을 증가시킬 수 있 음을 시사한다. 이에 따라, 본 연구는 PCSK9 저해제와 인지 기능 계통의 이상사례 간 연관성을 확인하는 것을 목표 로 한다. 1968년 1월부터 2022년 12월까지의 세계보건기구 VigiBase 데이터를 사용하여 관찰적 약물 감시 연구를 수 행하였다. PCSK9 저해제인 알리로쿠맙과 에볼로쿠맙의 개별 이상사례 보고서(ICSR)를 연구약물로 하여 다른 모든 약 물의 보고오즈비를 비교했다. 1차 평가 지표로 인지 기능 이상 관련 부작용은 규제 활동을 위한 의학 사전 (MedDRA) 시스템의 상위 단계군 용어 중 ‘인지 및 주의 장애’와 ‘정신적 장애’를 사용하여 정의하였으며, 2차 평가 지표로 세부 인지 기능 관련 이상사례를 나타내었다. PCSK9 저해제에 대한 114,293개의 보고서(258,099개의 약물-이상사례 쌍) 중 2094개(7,988개의 약물-이상사례 쌍)가 인지 기능 이상 부작용에 대한 건으로 확인되었다. ICSR 중 54%는 여성 환자 를 포함했으며, 41%는 65세, 대다수 (82%)는 에볼로쿠맙을 투여받았다. PCSK9 저해제와 인지 기능 이상 관련 부 작용에 대해 뷸균형 정보가 관측되었다(ROR 1.70, 95% CI 1.63-1.77). 세부적으로 인지 장애(ROR 1.47, 95% CI 1.28- 1.69), 기억 이상(ROR 2.72, 95% CI 2.56-2.88), 기억 상실증(ROR 1.50, 95% CI 1.36-1.65)가 유의한 실마리 정보로 탐지되었다. 본 약물감시 연구를 통해 PCSK9 저해제의 사용과 관련된 인지 기능 이상에 대한 보고가 증가한 것을 확 인할 수 있었으며, 특히 PCSK9 저해제를 투여받는 고령층 환자 사용에 있어 ‘기억 이상’ 부작용에 대해 주의 깊게 고 려해야 한다. 결과는 PCSK9 저해제 사용자의 인지 기능 이상에 대한 체계적 감시의 필요성을 시사한다."
딥러닝을 위한 마스크 착용 유형별 데이터셋 구축 및 검출 모델에 관한 연구                      = The Study for Type of Mask Wearing Dataset for Deep learning and Detection Model,황호성                                (을지대학교)                                                                ;                                  김동현                                (시냅스이미징)                                                                ;                                  김호철                                (을지대학교),대한의용생체공학회,의공학회지(Journal of Biomedical Engineering Research),Vol.43   No.3   [2022],2022,Korean,Mask detection;  Deep learning;  Object classification;  Object detection,"Due to COVID-19, Correct method of wearing mask is important to prevent COVID-19 and the other respiratory tract infections. And the deep learning technology in the image processing has been developed. The pur- pose of this study is to create the type of mask wearing dataset for deep learning models and select the deep learning model to detect the wearing mask correctly. The Image dataset is the 2,296 images acquired using a web crawler. Deep learning classification models provided by tensorflow are used to validate the dataset. And Object detection deep learning model YOLOs are used to select the detection deep learning model to detect the wearing mask cor- rectly. In this process, this paper proposes to validate the type of mask wearing datasets and YOLOv5 is the effective model to detect the type of mask wearing. The experimental results show that reliable dataset is acquired and the YOLOv5 model effectively recognize type of mask wearing."
국내 의료기관의 환자안전사고 관련 요인 분석: 2019-2022년 환자안전보고 데이터 활용 이차분석 연구                      = Analysis of factors related to patient safety incidents in domestic medical institutions: Secondary analysis study using patient safety reporting data from 2019-2022,조미숙                                (춘해보건대학교)                                                                ;                                  김정이                                (춘해보건대학교)                                                                ;                                  박윤희                                (춘해보건대학교),고령자&#65381;치매작업치료학회(Society of Occupational Therapy for the Agged and Dementia),고령자.치매작업치료학회지(The Journal of Occupational Therapy for the Aged and Dementia),Vol.17   No.2   [2023],2023,Korean,환자 안전사고;  환자 안전예방;  낙상;  간호교육;  Patient safety incidents;  Patient safety prevention;  Falls;  Nursing education,"목적: 본 연구의 목적은 국내 의료기관의 환자안전사고 관련 요인을 확인하여 환자안전사고를 예방 할 수있는 전략을 세우고, 환자안전 예방 프로그램 개발을 위한 기초자료로 활용하기 위함이다.연구방법: 본 연구는 보건복지부 의료기관평가인증원에서 발표한 ‘2019년~2022년 환자안전보고 데이터’의 원시자료를 활용한 이차자료분석 연구이다. 자료분석은 SPSS 23.0 program을 이용하여 분석하였다.연구결과: 본 연구는 4년간 환자안전 사고보고 데이터를 분석한 결과, 여성이 남성보다 적신호 사건과 근접오류에 대한 적신호 사건의 비율이 상대적으로 높았다. 환자안전사고 위해정도에 영향을 미치는 요인은 성별, 연령, 사고발생시간, 보고자, 의료기관구분, 병상규모, 사고발생장소, 사고의 종류이다.결론: 국내에 있는 의료기관은 병상규모와 연령에 따른 환자안전사고 예방을 위한 표준화된 환자안전 가이드라인 개발과 환자안전 교육 및 환자안전역량을 강화하기 위한 노력이 필요하다. 또한 노인들이주로 낙상으로 인한 환자안전사고가 보고되는 건이 많아 낙상을 줄일 수 있는 간호교육과 시설이필요하다."
임계값  기반  충격  전  낙상검출  및  실제  노인  데이터셋을 사용한  검증                      = Threshold-based Pre-impact Fall Detection and its Validation  Using the Real-world Elderly Dataset,"김동권                                (연세대학교 의공학과,  연세대학교 의료공학연구소)                                                                ;                                  이승희                                (연세대학교 의공학과,  연세대학교 의료공학연구소)                                                                ;                                  구범모                                (연세대학교 의공학과,  연세대학교 의료공학연구소)                                                                ;                                  양수민                                (연세대학교 의공학과,  연세대학교 의료공학연구소)                                                                ;                                  김영호                                (연세대학교 의공학과,  연세대학교 의료공학연구소)",대한의용생체공학회,의공학회지(Journal of Biomedical Engineering Research),Vol.44   No.6   [2023],2023,Korean,Pre-impact fall detection;  Threshold-based;  IMU;  Elderly fall,"Among the elderly, fatal injuries and deaths are significantly attributed to falls. Therefore, a pre-impact fall detection system is necessary for injury prevention. In this study, a robust threshold-based algorithm was pro- posed for pre-impact fall detection, reducing false positives in highly dynamic daily-living movements. The algorithm was validated using public datasets (KFall and FARSEEING) that include the real-world elderly fall. A 6-axis IMU sensor (Movella Dot, Movella, Netherlands) was attached to S2 of 20 healthy adults (aged 22.0±1.9years, height 164.9±5.9cm, weight 61.4±17.1kg) to measure 14 activities of daily living and 11 fall movements at a sampling fre- quency of 60Hz. A 5Hz low-pass filter was applied to the IMU data to remove high-frequency noise. Sum vector mag- nitude of acceleration and angular velocity, roll, pitch, and vertical velocity were extracted as feature vector. The proposed algorithm showed an accuracy 98.3%, a sensitivity 100%, a specificity 97.0%, and an average lead-time 311±99ms with our experimental data. When evaluated using the KFall public dataset, an accuracy in adult data improved to 99.5% compared to recent studies, and for the elderly data, a specificity of 100% was achieved. When evaluated using FARSEEING real-world elderly fall data without separate segmentation, it showed a sensitivity of 71.4% (5/7)."
투약오류 최소화를 위한 국내 유사 의약품명 현황에 대한 의약품목록 데이터베이스 분석연구                      = A Study on the Analysis of the Drug List Database on the Status of Similar Drug Names in Korea to Minimize Dosing Errors,"박선영                                (중앙대학교 대학원 규제약학과)                                                                ;                                  최수정                                (중앙대학교 약학대학)                                                                ;                                  정선영                                (중앙대학교 대학원 규제약학과, 중앙대학교 약학대학)",한국에프디시규제과학회,"FDC법제연구(Regulatory Research on Food, Drug & Cosmetic)",Vol.18   No.2   [2023],2023,Korean,투약오류;  LASA오류;  Looks-alike medication;  Sounds-alike medication;  의약품 표시제도;  medication error;  LASA error;  Looks-alike medication;  Sounds-alike medication;  Drug labeling guidelines,"A research analysis was conducted to minimize medication errors caused by Looks-alike and Sounds-alike (LASA) drugs among all pharmaceuticals listed in the domestic National Health Insurance Service's drug reimbursement and maximum reimbursement price list. Data from the National Health Insurance Service was utilized to identify Look-alike drugs, which have different drug substances but similar packaging and dosage labeling, and Sound-alike drugs, which have similar phonetic characteristics. These drugs were mapped with their respective ATC (Anatomical Therapeutic Chemical) codes for analysis. Among the total of 23,427 pharmaceuticals listed in the drug reimbursement and maximum reimbursement price list, there were 526 items (2.6%) identified as Looks-alike drugs with similar dosage labeling, and 656 items (3.23%) identified as Sounds-alike drugs with similar phonetic characteristics. Drugs within important therapeutic classes such as diabetes medications and gastrointestinal drugs, which have the potential for medication errors due to LASA issues, should establish guidelines for information sharing and product naming to minimize medication errors."
Elastic net 기반 특징 선택을 적용한 fNIRS 기반 뇌-컴퓨터 인터페이스 데이터셋 분류 정확도 평가                      = Assessment of Classification Accuracy of fNIRS-Based Brain-computer Interface Dataset Employing Elastic Net-Based Feature Selection,"신재영                                (원광대학교)                                                                ;                                  Shin, Jaeyoung",대한의용생체공학회,의공학회지(Journal of Biomedical Engineering Research),Vol.42   No.6   [2021],2021,Korean,Brain-computer interface;  Elastic net;  Feature selection;  fNIRS;  Regularization,"Functional near-infrared spectroscopy-based brain-computer interface (fNIRS-based BCI) has been receiving much attention. However, we are practically constrained to obtain a lot of fNIRS data by inherent hemodynamic delay. For this reason, when employing machine learning techniques, a problem due to the high-dimensional feature vector may be encountered, such as deteriorated classification accuracy. In this study, we employ an elastic net-based feature selection which is one of the embedded methods and demonstrate the utility of which by analyzing the results. Using the fNIRS dataset obtained from 18 participants for classifying brain activation induced by mental arithmetic and idle state, we calculated classification accuracies after performing feature selection while changing the parameter α (weight of lasso vs. ridge regularization). Grand averages of classification accuracy are 80.0 ± 9.4%, 79.3 ± 9.6%, 79.0 ± 9.2%, 79.7 ± 10.1%, 77.6 ± 10.3%, 79.2 ± 8.9%, and 80.0 ± 7.8% for the various values of α = 0.001, 0.005, 0.01, 0.05, 0.1, 0.2, and 0.5, respectively, and are not statistically different from the grand average of classification accuracy estimated with all features (80.1 ± 9.5%). As a result, no difference in classification accuracy is revealed for all considered parameter α values. Especially for α = 0.5, we are able to achieve the statistically same level of classification accuracy with even 16.4% features of the total features. Since elastic net-based feature selection can be easily applied to other cases without complicated initialization and parameter fine-tuning, we can be looking forward to seeing that the elastic-based feature selection can be actively applied to fNIRS data."
온라인 포털에서의 주요 비급여 한의치료 검색 트렌드와 그 의미에 대한 고찰: 네이버 데이터랩을 이용하여                      = A Study on Major Uninsured Korean Medicine Treatments Search Trends and Their Meanings in an Online Portal: Using Naver Data Lab,권찬영                                (동의대학교),대한한의학회,대한한의학회지(Journal of Korean Medicine),Vol.44   No.3   [2023],2023,Korean,Pharmacopuncture;  Chuna;  Thread-embedding therapy;  Herbal decoction;  Big data,"Objectives: The purpose of this study was to examine search trends and their meanings for major uninsuired Korean medicine (KM) treatments through analysis of an online portal search results.Methods: Keywords searches were performed using Naver Datalab on 4 July 2023. From January 2016 to June 2023, monthly relative search volume (RSV) for keywords ‘pharmacopuncture’, ‘Chuna’, and ‘needle-embedding therapy’, and ‘herbal decoction’ were extracted with a score between 0 and 100. For the obtained RSVs, longitudinal changes over time, characteristics according to sex and age group, and correlations between them were investigated.Results: The ranking of RSV for each keyword has changed from ‘Chuna’, ‘herbal decoction’, ‘needle-embedding therapy’, and ‘pharmacopuncture’ to ‘Chuna’, ‘herbal decoction’, ‘pharmacopuncture’, and ‘needle-embedding therapy’ after 2019. Overall, the RSV of needle-embedding therapy continuously decreased, while that of pharmacopuncture continuously increased. In 2019, a rapid increase in the RSV of Chuna was observed, and in 2020, a rapid increase in the RSV of herbal decoction was observed. There was a difference in the longitudinal change pattern of RSV for the keywords by age group. Importantly, in the elderly, changes in RSV were observed in a favorable pattern to KM treatment.Conclusion: Our findings enable estimation of the public's interest and its changes for the four uninsuired KM treatment, and can be used as basic data to strengthen health insurance coverage in Korea. Specifically, changes in interest in KM treatments according to sex and age can be referred to."
