,논문제목,연도,링크
492,기계학습을 이용한 재실자 상태 인지를 위한 환경 데이터 기반 Classification 알고리즘 비교 연구,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=eaabbdf40d22c3b547de9c1710b0298d&keyword=
493,웨어러블 디바이스를 위한 실시간 부정맥 검출 및 BLE기반 데이터 통신 알고리즘 개발과 적용,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a40697dd22955358e9810257f7042666&keyword=
494,제1부 KoMCI 2002 학술지의 인용문헌 분석 데이터,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e154f5c9f7d9e9ba6aae8a972f9116fb&keyword=
495,거울치료기법을 이용한 팔꿈치 재활훈련로봇용 팔꿈치 데이터 슈트 개발,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3d313213355d2cb0ffe0bdc3ef48d419&keyword=
496,노인 인지문제 개선 예측요인에 대한 탐색적 연구: 한국고령자패널데이터(KLoSA)를 이용하여,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=66b6ee75456349f5d18150b21a227875&keyword=
497,요양병원 유형에 따른 65세 이상 노인의 입원 의료이용 현황과 특성 : 2018년 건강보험심사평가원 고령환자데이터셋(HIRA-APS)을 사용하여,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=867a8d1ee7aa3ea67ecd42904f0c5d65&keyword=
498,밀리미터 웨이브와 웨어러블 디바이스에 심박 데이터 동기화,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=67c20de49fb161ed47de9c1710b0298d&keyword=
499,임상문서 정보교류 시스템의 의미론적 상호운용성 확립을 위한 메타데이터 국제표준 적용방안,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c2dc985e1c6f59c46aae8a972f9116fb&keyword=
500,제1부 KoMCI 2004 학술지의 인용문헌 분석 데이터,2005,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=25800b1e63586e3547de9c1710b0298d&keyword=
501,제1부 KoMCI 2006 학술지의 인용문헌 분석 데이터,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=dfe3f01a54e0b80847de9c1710b0298d&keyword=
502,미생물학과 감염 분야 논문 검색에 국내 문헌데이터베이스의 유용성 비교,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c80d18f7a4a30052d18150b21a227875&keyword=
503,동시 뇌경두개자기자극-기능자기공명영상 시행을 위한 홀더 제작과 시뮬레이션 및 영상 데이터 평가,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=270f8ddcaf7d1dadb7998d826d417196&keyword=
504,정신과 의사와 비정신과 의사의 항우울제 처방에 대한 연구 : 건강보험심사평가원 청구 데이터 중심으로,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e16dc551cd375c58e9810257f7042666&keyword=
505,"COVID-19 전, 후 외상환자의 손상유형 및 특성 비교: 한국 외상 데이터 뱅크를 이용한 2차 데이터 분석 연구",2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7ba1456e2ed76c5cb36097776a77e665&keyword=
506,경행두통(經⾏頭痛)의 한의치료 적용 가능성에 대한 문헌 데이터 분석,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=943627ff32b4382b7ecd42904f0c5d65&keyword=
507,중장년층의 치과 임플란트 이용에 민간의료보험 가입 여부가 미치는 영향 : 2기 한국의료패널 데이터 분석,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7d9a19e1db36525e7f7a54760bb41745&keyword=
508,신체ㆍ정신복합질환자의 민간의료보험 가입 여부가 의료이용에 미치는 영향: 한국의료패널 데이터 2018년 자료 활용,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d6286ac38c04e18a4884a65323211ff0&keyword=
509,저전력 블루투스 기반 안경형 웨어러블 생체신호 측정 장치 개발을 위한 센서 및 데이터 전송 방식에 대한 고찰,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=71cff2e386d357057f7a54760bb41745&keyword=
510,요추수술 후 환자의 의과 및 한의과 의료기관 이용 행태 분석: 건강보험심사평가원 표본데이터를 이용하여,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=036bcbbdaf3da8727ecd42904f0c5d65&keyword=
511,뇌성마비 아동의 손 기능 향상과 치료흥미 유발을 위한 데이터 글러브 및 RC기반 무인자동차 개발,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=da5a7a85dcb5182dffe0bdc3ef48d419&keyword=
512,청년층(만19~39세)의 한의의료이용 결정요인 및 행동의도 - 『2017년 한방의료이용 및 한약소비실태조사』 마이크로데이터를 중심으로 -,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7745c7041d595084b36097776a77e665&keyword=
513,위암 환자에서 개복 수술과 복강경 수술 결과 및 재원일수와 입원비용에  차이를 발생시키는 동반질환 분석: 건강보험 청구데이터를 활용하여,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6bbbcc57c54193c8d18150b21a227875&keyword=
514,ABO 부적합 장기이식 환자에서 총 동종응집소와 IgG 동종응집소 역가 비교: 일개 대학병원의 최근 5년 데이터 분석,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=130214c6b0828fa5b36097776a77e665&keyword=
515,대만 건강보험연구데이터(NHIRD)를 이용한 대만에서의 전통 동아시아 의학(TEAM)의 의료시장 점유율 분석,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=563b0eaefa7871ee47de9c1710b0298d&keyword=
516,당뇨병 모델동물 TallyHo 마우스에 관한 기초데이터,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=da1fc4d8fd40e756ffe0bdc3ef48d419&keyword=
517,기저치를 가진 생물학적 동등성 평가의 통계적 고찰: 내인성 제제 사례연구,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=832fc51916b8d13547de9c1710b0298d&keyword=
518,수술간호자료세트(PNDS: Perioperative Nursing Data Set)를 적용한 수술간호 분석 : Analysis of Perioperative Nursing applying the Perioperative Nursing Data Set(PNDS),2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fae79269ac40b0b4ffe0bdc3ef48d419&keyword=
519,Narrative Review of the Use and Validation of Big Data Analysis Technology in the Sports Science Field,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ba71185ad8db33aa4884a65323211ff0&keyword=
520,PET 검사 시 Reconstructed data와 Re-sliced data의 표준섭취계수와 Metabolic Tumor Volume의 비교 평가,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=60dcc2be69e051ba6aae8a972f9116fb&keyword=
521,생명정보학을 이용한 전사인자의 하위표적유전자 분석에 관한 연구,2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=edb7d3aa485aa5b97ecd42904f0c5d65&keyword=
522,미생물 구조유전체학을 기반으로하는 새로운 항균제 개발,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=998ec2a8ed54544affe0bdc3ef48d419&keyword=
523,입원중인 정신분열병 환자에서 비전형 및 전형 항정신병약물에 대한 주관적인 반응,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0f5069c67accc63cffe0bdc3ef48d419&keyword=
524,한국인 3차원 인체형상모델을 이용한 고리뼈의 성별판별 검증,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=19eabfd431cc0055b7998d826d417196&keyword=
525,한국형 Nursing Minimum Data Set[NMDS]구축을 통한 환자결과에 대한 연구,2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9f4e4ccf1e806816ffe0bdc3ef48d419&keyword=
526,고리뼈를 이용한 한국인의 성별판별,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7ab65eb56c7ad830ffe0bdc3ef48d419&keyword=
527,외부 병원 Data의 효율적 관리에 대한 제언,2007,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9feed4597a3e4255b36097776a77e665&keyword=
528,스포츠 경기에서 지능인식모델을 이용하기 위한 대상체 인식오류 보상방법에 관한 연구,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=651de8b3120e804dd18150b21a227875&keyword=
529,Association between Behavioral Risk Factors and Self-Rated Health: Data from National Health Surveys in South Korea and Thailand,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d9329fd38bcb19aa47de9c1710b0298d&keyword=
530,정상 성인에 경구 투여한 Cefixime 두 정제의 생물학적 동등성 비교,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0214b9beb42b29d6ffe0bdc3ef48d419&keyword=
531,전산 데이타를 활용한 약물이상반응검토 및 시그널,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8d500585cfc9e845ffe0bdc3ef48d419&keyword=
532,"Impacts of Language Use, Family, School, and Neighborhood on Mental Distress: Analyzing Data on Immigrant Youth in California",2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=08f9d907077729db4884a65323211ff0&keyword=
533,광장공포증 유무에 따른 공황장애 환자의 공존병리와 증상 심각도의 비교 연구,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d7bde59d649d7cdbffe0bdc3ef48d419&keyword=
534,만성정신질환자의 욕구에 대한 수요자(환자)와 공급자(치료자) 측면의 비교 연구,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5b344314685cc3b2&keyword=
535,범불안장애환자와 주요우울증환자 간에 인지적 형태와 스트레스 대처 방식의 비교,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=709ff72873b26c00ffe0bdc3ef48d419&keyword=
536,섬망 치료에 있어서 Quetiapine과 Risperidone의 효과 비교,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=76047957f7ba27bcffe0bdc3ef48d419&keyword=
537,알쯔하이머형 치매와 혈관성 치매환자에서의 ALDH2와 APOE 유전자의 다형성에 관한 연구,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4b858c31bd99a416ffe0bdc3ef48d419&keyword=
538,만성적 정신분열병 또는 분열정동장애를 가진 입원환자에서 Aripiprazole와 Haloperidol의 치료효과 및 안정성 비교 : 16주간의 임상적 연구의 결과,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c41b0576e00beb96ffe0bdc3ef48d419&keyword=
539,공황장애 환자에서 광장공포증 유무에 따른 공황발작 증상의 비교,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=10c4ad7fae2e4aa9&keyword=
540,섬망 치료에 있어서 지프라시돈(Ziprasidone)과 리스페리돈(Risperidone)의 효과 비교,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e7f797863d2f2a09ffe0bdc3ef48d419&keyword=
541,인터넷 시험 풀그림(software)을 활용한 의학교육평가 연구,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bbc4ba9515ba6cb4ffe0bdc3ef48d419&keyword=
542,한국인에서 측만지증의 빈도와 유전양상,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a9bda0567f919e7a47de9c1710b0298d&keyword=
543,한국인 머리뼈 3차원 영상을 이용한 성별판별,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1128e66069d1e23ec85d2949c297615a&keyword=
544,나이추정을 위한 한국인 정강뼈와 종아리뼈의 뼈조직형태학적 연구,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f520c3be746d2245e9810257f7042666&keyword=
545,레바미피드 100 mg 정제의 생물학적동등성,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a602f9ae3422539dffe0bdc3ef48d419&keyword=
546,란크릭 캅셀(플루옥세틴 20mg)에 대한 프로작 캅셀의 생물학적 동등성 시험,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ee8bd8365218c8a2&keyword=
547,Data Envelopment Analysis/Window 모형과 Global Malmquist 생산성지수 모형을 이용한 지방의료원의 효율성과 생산성 변화 분석,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=db977321499ee5c7b36097776a77e665&keyword=
548,A Study of Choice for Analysis Method on Repeated Measures Clinical Data,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=913fbe849251f9fe47de9c1710b0298d&keyword=
549,Reference Data of the Main Physiological Parameters in Control Sprague-Dawley Rats from Pre-clinical Toxicity Studies,2010,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3660032b0fd6dec2ffe0bdc3ef48d419&keyword=
550,Big data classification with decision tree,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d46562270e7e72f14884a65323211ff0&keyword=
551,PACS DATA CD의 호환성 평가 및 DICOM 적합성에 대한 검증을 통한 기준 제시,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ac040e441dbc620dc85d2949c297615a&keyword=
552,Medical big data: promise and challenges,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=aa716ab8626a7b2cb7998d826d417196&keyword=
553,"Normative Data and Developmental Characteristics of Hand Function for Elementary School Children in Suwon Area of Korea: Grip, Pinch and Dexterity Study",2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=99e4d1d8bf5430846aae8a972f9116fb&keyword=
554,Big data and pain,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cba13002aff2e9347ecd42904f0c5d65&keyword=
555,Survival data analysis,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=45c104a7f64c26ee7f7a54760bb41745&keyword=
556,효율적인 EMR data 추출과 통계 이용,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=de4c3c5efa079cce6aae8a972f9116fb&keyword=
557,자율신경계의 활성도 측정을 위한 Data Acquisition System의 개발 및 임상응용,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9bd385ed94223d99&keyword=
558,"(Real World Data를 활용한 임상연구) What is ""Real-World Evindenc""..?",2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5eda3d62a06c1c53e9810257f7042666&keyword=
559,Historical Control Data from 4-week Repeated Toxicity Studies in Crj:CD (SD) Rats,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ecc5f42984822fe9ffe0bdc3ef48d419&keyword=
560,Visible Human Data의 3차원 가시화에 대한 연구,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=017d7cbddac3c5ab&keyword=
561,Current Epidemiological Data on Asthma Management in South Korea from Qualitative Assessment of Asthma Management by Health Insurance Review and Assessment Service (HIRA),2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b67e1c3ae6895a5f6aae8a972f9116fb&keyword=
562,Perioperative Nursing Data Set(PNDS)를 이용한 수술실 간호중재 분석,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=12d5ee18e7edec26ffe0bdc3ef48d419&keyword=
563,구강점막의 통합성 사정기록 체계화를 위한 최소자료세트(Minimum Data Set) 규명,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2c058a8bd4078e2f4884a65323211ff0&keyword=
564,Optimum range of weight-age data for estimationof growth curve parameters in Korean native chicken,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9bf308369d57c9c84884a65323211ff0&keyword=
565,Optimum range of weight-age data for estimationof growth curve parameters in Korean native chicken,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b8e752b7bd95878b47de9c1710b0298d&keyword=
566,Integrative Analysis of Microarray Data to Reveal Regulation Patterns in the Pathogenesis of Hepatocellular Carcinoma,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4020b2f35e4028b8b7998d826d417196&keyword=
567,"OCS, EMR 의 Data 호환과 간호업무개선",2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1378c8c1aa654a85ffe0bdc3ef48d419&keyword=
568,P162 : The usefulness of internet search engine data on dermatologic diseases,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=681f91212c81eea56aae8a972f9116fb&keyword=
569,"Lessons from 30 years` data of Korean end-stage renal disease registry, 1985-2015",2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=48c635bc8ed05c7cb7998d826d417196&keyword=
570,Breast Imaging Reporting and Data System 5판에 근거하여 분석한 3차 병원의 검진 유방촬영술의 의학적 감사 보고,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=728bd6deb6635011d18150b21a227875&keyword=
571,How to use NGS data in clinic for Cancer,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5e68d0c317af83c47ecd42904f0c5d65&keyword=
572,Nursing Management Minimum Data Sets (NMMDS) 연구의 최신 동향,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9d3a89653e4b0cc06aae8a972f9116fb&keyword=
573,Understating Sample Survey Data Analysis : 표본조사자료 분석의 이해,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ceb062d34e42e5cdffe0bdc3ef48d419&keyword=
574,영과잉 가산자료(Zero-inflated Count Data) 분석 방법을 이용한 지역사회 거주 노인의 노인학대 발생과 심각성에 미치는 위험요인 분석,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=59e68e846c3bd001ffe0bdc3ef48d419&keyword=
575,Comparison of Clinical Laboratory Data and Prevalence according to Arterial Stiffness in Stroke Patients,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f4be931686a38b4db36097776a77e665&keyword=
576,Nursing Management Minimum Data Sets (NMMDS) 연구의 최신 동향,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7963c9787d37f453d18150b21a227875&keyword=
577,Liver imaging reporting and data system (LI-RADS) version 2014: understanding and application of the diagnostic algorithm,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2ec7e3b1f0af9c494884a65323211ff0&keyword=
578,Utilization of health insurance data in an environmental epidemiology,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3c76696507c19cdec85d2949c297615a&keyword=
579,Current status of genomic prediction using Multi-omics data in livestock,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8eb53c23c5d3d50a4884a65323211ff0&keyword=
580,Motion Recognition for Kinect Sensor Data Using Machine Learning Algorithm with PNF Patterns of Upper Extremities,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ae43a935211b29a84884a65323211ff0&keyword=
581,새로운 권고안(2021 Korean Thyroid Imaging Reporting and Data System)을 이용한 갑상선 결절의 평가,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b4b4d9a577e87261b7998d826d417196&keyword=
582,A retrospective analysis of 20-year data of the surgical management of ulcerative colitis patients in Taiwan: a study of Taiwan Society of Inflammatory Bowel Disease,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f925d19985298969b36097776a77e665&keyword=
583,"황기뿌리에서 분리한 Astragaloside I, II 및 Isoastragaloside I의 HMBC와 1D-TOCSY data를 포함한 nmr assignments",2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=499c97b7c2308f194884a65323211ff0&keyword=
584,일 종합병원 외래간호단위의 효율성 평가 -자료포락분석법(Data Envelopment Analysis)의 적용,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e99e1e69fe4067a44884a65323211ff0&keyword=
585,Peripartum hysterectomy and arterial embolization: Data from the Health Insurance Review & Assessment Service of Korea (초),2010,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=add0f366ccd5d3ecffe0bdc3ef48d419&keyword=
586,Comorbidity Study on type 2 Diabetes Mellitus Using Data Mining,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=de8002fd35a10928ffe0bdc3ef48d419&keyword=
587,병원 임상간호 연구 자료 (Raw data),2010,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a896a1b8c99f9b63ffe0bdc3ef48d419&keyword=
588,Getting started with healthcare big data analysis now,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bbea08ea83fbfe54e9810257f7042666&keyword=
589,Motion Recognition for Kinect Sensor Data Using Machine Learning Algorithm with PNF Patterns of Upper Extremities,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d72166326493bf397ecd42904f0c5d65&keyword=
590,Clinical Characteristics of Pulmonary Actinomycosis Based on Data Analysis from 13 Korean Medical Centers,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5df6529849f1f8daffe0bdc3ef48d419&keyword=
591,일개 도시 노인에서의 MDS-HC (Minimum Data Set-Home Care)를 활용한 CAPs (Client Assessment Protocols),2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=466a21f00d48f61d47de9c1710b0298d&keyword=
592,Awareness and assessment of the Material Safety Data Sheet by dental technicians in Jeju province,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=86a3c75bb6a7becec85d2949c297615a&keyword=
593,DICOM 객체를 활용한 무결성 PACS Data 관리시스템 구현,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=07d81847dbead457b7998d826d417196&keyword=
594,Liver Transplantation in Korea based on Big Data,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7610e5bb194cfaef7ecd42904f0c5d65&keyword=
595,Contrast-enhanced ultrasound (CEUS) liver imaging reporting and data system (LI-RADS) 2017 - a review of important differences compared to the CT/MRI system,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=eb36e738617a6aa17f7a54760bb41745&keyword=
596,Current status of genomic prediction using Multi-omics data in livestock,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d2fb9aac6e5659607f7a54760bb41745&keyword=
597,S-9 : Long term follow-up data of patients who deferred cholecystectomy after successful EST,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=070feff77271a665ffe0bdc3ef48d419&keyword=
598,"Welcome to the World of Big Data, Surgeons",2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=48fd42d6c1ee59bf6aae8a972f9116fb&keyword=
599,‘영상의학에서 판독과 자료체계(Reporting and Data System; RADS)의 강점과 약점 그리고 발전’ 특별호 발간에 부쳐,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4088b4b6928774537f7a54760bb41745&keyword=
600,e-Poster : Reliance on intrapatient and interlaboratory data of hair mineral analysis (초),2010,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0f17187c76879befffe0bdc3ef48d419&keyword=
601,Motion Recognition for Kinect Sensor Data Using Machine Learning Algorithm with PNF Patterns of Upper Extremities,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b29f782936ce7d95c85d2949c297615a&keyword=
602,The immune system and novel targeted agent in AD: The clinical data and case sharing of dupilumab,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f27a5cd2e8db4a1a7f7a54760bb41745&keyword=
603,Interspecies pharmacokinetic scaling of 11-hydroxyaclanomycin X based on animal data,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=daaeb430025a7bf3c85d2949c297615a&keyword=
604,Original Articles : Prevalence of Eye Diseases in South Korea: Data from the Korea National Health and Nutrition Examination Survey 2008-2009,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b19a9be2e1d5dde7ffe0bdc3ef48d419&keyword=
605,"Type-specific prevalence of high-risk human papillomavirus by cervical cytology and age: Data from the health check-ups of 7,014 Korean women",2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d5e30554153fcd7c47de9c1710b0298d&keyword=
606,Interspecies pharmacokinetic scaling of 11-hydroxyaclanomycin X based on animal data,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3e2c5cbd84957daa7ecd42904f0c5d65&keyword=
607,F-138 A risk scoring model based on vital signs and laboratory data to predict ICU admission among gastroenterology inpatients,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=52d411e7329deafcb36097776a77e665&keyword=
608,Thematic Poster : TP-11 ; Comorbidities in Obstructive Lung Disease in Korea; Data from the Fourth and Fifth Korean National Health and Nutrition Examination Survey,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=654fc814355f61e3d18150b21a227875&keyword=
609,Performance Comparison of Released Contact Lens in the Korea : KFDA Approval Data Analysis,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6bce9ac5c2950d786aae8a972f9116fb&keyword=
610,HBV : O-009 ; Poor durability of entecavir effectiveness; Extended data of the five year`s treatment experience,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8be88b42c506a9dfb7998d826d417196&keyword=
611,"Review : The cost of liver disease in Korea: methodology, data, and evidence",2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=27c6ab027c2496857f7a54760bb41745&keyword=
612,Poster Session : PS 0290 ; Geriatrics : Spirituality in Successful Aging: Data from the Singapore Successful Aging Study,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c60df419fc7a9e936aae8a972f9116fb&keyword=
613,Clinical Symposium 1. Update in Liver imaging : LI-RADS (Liver Imaging-Reporting and Data System),2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2dbe7d010d73654fb7998d826d417196&keyword=
614,Current characteristics of dialysis therapy in Korea: 2015 registry data focusing on elderly patients,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=eb1519b9b11788717f7a54760bb41745&keyword=
615,성인 급성 림프구성 백혈병에서의 염색체 변이에 따른 치료결과(Preliminary Data),2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e3996d14c4dbb3e0ffe0bdc3ef48d419&keyword=
616,Poster Session : PS 0057 ; Cardiology : The Exercise Test Data in Interrelation with the Heart Rate Variability in Cardiovascular Heart Disease and Arterial Hypertension,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9df2101b0bdcab18c85d2949c297615a&keyword=
617,S-462 The Association between Rice Intake Pattern and Proteinuria : Data from KNHANES,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=274d8d1baccf474c4884a65323211ff0&keyword=
618,HBV : O-009 ; Poor durability of entecavir effectiveness: Extended data of the five year`s treatment experience,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fbf133361bdb3027ffe0bdc3ef48d419&keyword=
